半导体	semiconductor
"265","weight","玻璃","小家电",1.91424554463436e-05,0.048,"1.9e-05","****","Wilcoxon"
"266","weight","玻璃","休闲服务",0.0979051657520841,1,"0.09791","ns","Wilcoxon"
"267","weight","玻璃","医疗服务",1.70986563779914e-09,5.2e-06,"1.7e-09","****","Wilcoxon"
"268","weight","玻璃","医疗器械",4.36015752688046e-09,1.3e-05,"4.4e-09","****","Wilcoxon"
"269","weight","玻璃","医药商业",1.3671286522296e-13,4.6e-10,"1.4e-13","****","Wilcoxon"
"270","weight","玻璃","银行",7.50699876328358e-11,2.4e-07,"7.5e-11","****","Wilcoxon"
"271","weight","玻璃","饮料",4.74909817968638e-05,0.12,"4.7e-05","****","Wilcoxon"
"272","weight","玻璃","营销服务",3.07444410707934e-06,0.0082,"3.1e-06","****","Wilcoxon"
"273","weight","玻璃","影视动漫",1.28336911558622e-07,0.00037,"1.3e-07","****","Wilcoxon"
"274","weight","玻璃","渔业",0.0042738614786043,1,"0.00427","**","Wilcoxon"
"275","weight","玻璃","造纸印刷",0.0138061324913932,1,"0.01381","*","Wilcoxon"
"276","weight","玻璃","照明设备",0.0249317401922687,1,"0.02493","*","Wilcoxon"
"277","weight","玻璃","中药生产",1.08604858006291e-11,3.5e-08,"1.1e-11","****","Wilcoxon"
"278","weight","玻璃","珠宝首饰",5.05178935279872e-12,1.7e-08,"5.1e-12","****","Wilcoxon"
"279","weight","玻璃","专业服务",0.000833685701838446,1,"0.00083","***","Wilcoxon"
"280","weight","玻璃","专用设备",1.53353901567978e-07,0.00044,"1.5e-07","****","Wilcoxon"
"281","weight","玻璃","装修装饰",2.92963100266441e-05,0.073,"2.9e-05","****","Wilcoxon"
"282","weight","玻璃","综合",9.62691007734227e-06,0.025,"9.6e-06","****","Wilcoxon"
"283","weight","畜牧业","船舶与海洋装备",0.000817276066746489,1,"0.00082","***","Wilcoxon"
"284","weight","畜牧业","电机",2.80873786599788e-16,9.9e-13,"2.8e-16","****","Wilcoxon"
"285","weight","畜牧业","电力",1.67315982135469e-60,7.1e-57,"< 2e-16","****","Wilcoxon"
"286","weight","畜牧业","电源设备",1.76675353691627e-134,7.9e-131,"< 2e-16","****","Wilcoxon"
"287","weight","畜牧业","电子器件",9.81612130649043e-06,0.025,"9.8e-06","****","Wilcoxon"
"288","weight","畜牧业","电子设备制造",1.48057815029003e-164,6.7e-161,"< 2e-16","****","Wilcoxon"
"289","weight","畜牧业","电子元件",0.000122178493911089,0.29,"0.00012","***","Wilcoxon"
"290","weight","畜牧业","房地产开发",7.90132713002319e-05,0.19,"7.9e-05","****","Wilcoxon"
"291","weight","畜牧业","纺织",0.121791169481105,1,"0.12179","ns","Wilcoxon"
"292","weight","畜牧业","非银行金融",4.46599117725251e-05,0.11,"4.5e-05","****","Wilcoxon"
"293","weight","畜牧业","服装家纺",1.2572498065454e-17,4.5e-14,"< 2e-16","****","Wilcoxon"
"294","weight","畜牧业","钢结构",8.53109446295713e-41,3.5e-37,"< 2e-16","****","Wilcoxon"
"295","weight","畜牧业","钢铁",6.75749225727778e-107,3e-103,"< 2e-16","****","Wilcoxon"
"296","weight","畜牧业","港口航运",7.32543079729926e-15,2.5e-11,"7.3e-15","****","Wilcoxon"
"297","weight","畜牧业","公路铁路",4.24834255563939e-07,0.0012,"4.2e-07","****","Wilcoxon"
"298","weight","畜牧业","光电子器件",0.00145472180319284,1,"0.00145","**","Wilcoxon"
"299","weight","畜牧业","广播电视",0.396899613171227,1,"0.39690","ns","Wilcoxon"
"300","weight","畜牧业","轨道交通设备",2.39422416865042e-06,0.0064,"2.4e-06","****","Wilcoxon"
"301","weight","畜牧业","贵金属",0.863208705614255,1,"0.86321","ns","Wilcoxon"
"302","weight","畜牧业","航空航天装备",0.0111146915165322,1,"0.01111","*","Wilcoxon"
"303","weight","畜牧业","航空机场",9.66624245940133e-06,0.025,"9.7e-06","****","Wilcoxon"
"304","weight","畜牧业","合成纤维及树脂",1.77364470367456e-103,7.8e-100,"< 2e-16","****","Wilcoxon"
"305","weight","畜牧业","互联网服务",8.09141839975029e-43,3.3e-39,"< 2e-16","****","Wilcoxon"
"306","weight","畜牧业","互联网技术",4.09370677106862e-18,1.5e-14,"< 2e-16","****","Wilcoxon"
"307","weight","畜牧业","互联网商务",0.162079152621863,1,"0.16208","ns","Wilcoxon"
"308","weight","畜牧业","化肥农药",3.39068375128573e-14,1.2e-10,"3.4e-14","****","Wilcoxon"
"309","weight","畜牧业","化学新材料",1.06213676747796e-284,4.8e-281,"< 2e-16","****","Wilcoxon"
"310","weight","畜牧业","化学原料",2.31311921186709e-128,1e-124,"< 2e-16","****","Wilcoxon"
"311","weight","畜牧业","化学制品",6.06812687256268e-156,2.7e-152,"< 2e-16","****","Wilcoxon"
"312","weight","畜牧业","化学制药",1.18641091838628e-18,4.3e-15,"< 2e-16","****","Wilcoxon"
"313","weight","畜牧业","环保",1.32848546967693e-143,6e-140,"< 2e-16","****","Wilcoxon"
"314","weight","畜牧业","机器人",9.07082340243354e-05,0.22,"9.1e-05","****","Wilcoxon"
"315","weight","畜牧业","基本金属",1.64856180291987e-48,6.8e-45,"< 2e-16","****","Wilcoxon"
"316","weight","畜牧业","基础建设",5.42299592682153e-18,1.9e-14,"< 2e-16","****","Wilcoxon"
"317","weight","畜牧业","计算机软件",2.62753768294724e-145,1.2e-141,"< 2e-16","****","Wilcoxon"
"318","weight","畜牧业","计算机硬件",2.89971152353166e-100,1.3e-96,"< 2e-16","****","Wilcoxon"
"319","weight","畜牧业","家具",0.0227020649510763,1,"0.02270","*","Wilcoxon"
"320","weight","畜牧业","建筑施工",4.75434242010248e-251,2.2e-247,"< 2e-16","****","Wilcoxon"
"321","weight","畜牧业","教育",0.208708740539078,1,"0.20871","ns","Wilcoxon"
"322","weight","畜牧业","金属非金属新材料",1.13708071792883e-135,5.1e-132,"< 2e-16","****","Wilcoxon"
"323","weight","畜牧业","金属制品",1.74021162152653e-06,0.0047,"1.7e-06","****","Wilcoxon"
"324","weight","畜牧业","林业",0.000494065476772106,1,"0.00049","***","Wilcoxon"
"325","weight","畜牧业","零售",0.00700501986754814,1,"0.00701","**","Wilcoxon"
"326","weight","畜牧业","贸易",0.00258746523636097,1,"0.00259","**","Wilcoxon"
"327","weight","畜牧业","煤炭",2.41094466139181e-07,0.00068,"2.4e-07","****","Wilcoxon"
"328","weight","畜牧业","耐火材料",3.28612209874062e-81,1.4e-77,"< 2e-16","****","Wilcoxon"
"329","weight","畜牧业","农业",0.842981152830703,1,"0.84298","ns","Wilcoxon"
"330","weight","畜牧业","平面媒体",0.186415016988667,1,"0.18642","ns","Wilcoxon"
"331","weight","畜牧业","其他电气设备",2.57668392930636e-36,1e-32,"< 2e-16","****","Wilcoxon"
"332","weight","畜牧业","其他家电",7.13192054211681e-12,2.3e-08,"7.1e-12","****","Wilcoxon"
"333","weight","畜牧业","其他建材",0.000971140541891573,1,"0.00097","***","Wilcoxon"
"334","weight","畜牧业","其他交运设备",2.32085373080772e-11,7.5e-08,"2.3e-11","****","Wilcoxon"
"335","weight","畜牧业","其他轻工",0.000690405643833893,1,"0.00069","***","Wilcoxon"
"336","weight","畜牧业","汽车",2.65077123982387e-98,1.2e-94,"< 2e-16","****","Wilcoxon"
"337","weight","畜牧业","燃气",0.000250958984081513,0.58,"0.00025","***","Wilcoxon"
"338","weight","畜牧业","商业物业经营",0.00146990661590516,1,"0.00147","**","Wilcoxon"
"339","weight","畜牧业","生物医药",0.157008610007358,1,"0.15701","ns","Wilcoxon"
"340","weight","畜牧业","石油天然气",2.14290068102056e-76,9.3e-73,"< 2e-16","****","Wilcoxon"
"341","weight","畜牧业","食品",0.0821908293639612,1,"0.08219","ns","Wilcoxon"
"342","weight","畜牧业","视听器材",3.27592454420692e-34,1.3e-30,"< 2e-16","****","Wilcoxon"
"343","weight","畜牧业","输变电设备",6.67438535794467e-31,2.6e-27,"< 2e-16","****","Wilcoxon"
"344","weight","畜牧业","水泥",4.7433070778647e-13,1.6e-09,"4.7e-13","****","Wilcoxon"
"345","weight","畜牧业","水务",5.94880003619728e-05,0.14,"5.9e-05","****","Wilcoxon"
"346","weight","畜牧业","陶瓷",2.92170924744634e-29,1.1e-25,"< 2e-16","****","Wilcoxon"
"347","weight","畜牧业","铁矿石",0.103850082831454,1,"0.10385","ns","Wilcoxon"
"348","weight","畜牧业","铁路设备",7.07127926144919e-18,2.5e-14,"< 2e-16","****","Wilcoxon"
"349","weight","畜牧业","通信设备",1.44464039216187e-33,5.8e-30,"< 2e-16","****","Wilcoxon"
"350","weight","畜牧业","通用设备",7.38520867899566e-33,2.9e-29,"< 2e-16","****","Wilcoxon"
"351","weight","畜牧业","卫星应用",7.60658246831895e-13,2.5e-09,"7.6e-13","****","Wilcoxon"
"352","weight","畜牧业","文娱用品",0.0991948795349107,1,"0.09919","ns","Wilcoxon"
"353","weight","畜牧业","物流",5.05288457746711e-22,1.9e-18,"< 2e-16","****","Wilcoxon"
"354","weight","畜牧业","稀有金属",8.36119972572947e-27,3.2e-23,"< 2e-16","****","Wilcoxon"
"355","weight","畜牧业","橡胶制品",6.72374232612934e-44,2.8e-40,"< 2e-16","****","Wilcoxon"
"356","weight","畜牧业","消费电子设备",0.502971648228367,1,"0.50297","ns","Wilcoxon"
"357","weight","畜牧业","小家电",1.669329279145e-51,7e-48,"< 2e-16","****","Wilcoxon"
"358","weight","畜牧业","休闲服务",0.413408260832721,1,"0.41341","ns","Wilcoxon"
"359","weight","畜牧业","医疗服务",0.682766407307811,1,"0.68277","ns","Wilcoxon"
"360","weight","畜牧业","医疗器械",3.42589829287372e-22,1.3e-18,"< 2e-16","****","Wilcoxon"
"361","weight","畜牧业","医药商业",2.63260209879875e-12,8.6e-09,"2.6e-12","****","Wilcoxon"
"362","weight","畜牧业","银行",0.00636915103997344,1,"0.00637","**","Wilcoxon"
"363","weight","畜牧业","饮料",0.00529474753461673,1,"0.00529","**","Wilcoxon"
"364","weight","畜牧业","营销服务",3.30890112094787e-06,0.0088,"3.3e-06","****","Wilcoxon"
"365","weight","畜牧业","影视动漫",0.232015571375387,1,"0.23202","ns","Wilcoxon"
"366","weight","畜牧业","渔业",0.536012850951253,1,"0.53601","ns","Wilcoxon"
"367","weight","畜牧业","造纸印刷",1.03965879757753e-130,4.6e-127,"< 2e-16","****","Wilcoxon"
"368","weight","畜牧业","照明设备",1.43498000872381e-20,5.3e-17,"< 2e-16","****","Wilcoxon"
"369","weight","畜牧业","中药生产",0.349329405822832,1,"0.34933","ns","Wilcoxon"
"370","weight","畜牧业","珠宝首饰",4.10415993730344e-21,1.5e-17,"< 2e-16","****","Wilcoxon"
"371","weight","畜牧业","专业服务",4.63896281447502e-99,2e-95,"< 2e-16","****","Wilcoxon"
"372","weight","畜牧业","专用设备",1.07032237490913e-43,4.4e-40,"< 2e-16","****","Wilcoxon"
"373","weight","畜牧业","装修装饰",1.37573248506967e-17,4.9e-14,"< 2e-16","****","Wilcoxon"
"374","weight","畜牧业","综合",8.86300638071407e-31,3.5e-27,"< 2e-16","****","Wilcoxon"
"375","weight","船舶与海洋装备","电机",0.0159490564172341,1,"0.01595","*","Wilcoxon"
"376","weight","船舶与海洋装备","电力",0.0783687902318958,1,"0.07837","ns","Wilcoxon"
"377","weight","船舶与海洋装备","电源设备",0.146271462115653,1,"0.14627","ns","Wilcoxon"
"378","weight","船舶与海洋装备","电子器件",0.00549018511499043,1,"0.00549","**","Wilcoxon"
"379","weight","船舶与海洋装备","电子设备制造",0.0269566890748665,1,"0.02696","*","Wilcoxon"
"380","weight","船舶与海洋装备","电子元件",0.00119535515246017,1,"0.00120","**","Wilcoxon"
"381","weight","船舶与海洋装备","房地产开发",0.0461709039884886,1,"0.04617","*","Wilcoxon"
"382","weight","船舶与海洋装备","纺织",0.0416345238773112,1,"0.04163","*","Wilcoxon"
"383","weight","船舶与海洋装备","非银行金融",0.0331358110075612,1,"0.03314","*","Wilcoxon"
"384","weight","船舶与海洋装备","服装家纺",3.71927786548038e-05,0.092,"3.7e-05","****","Wilcoxon"
"385","weight","船舶与海洋装备","钢结构",0.0825540031462633,1,"0.08255","ns","Wilcoxon"
"386","weight","船舶与海洋装备","钢铁",0.0315352208572941,1,"0.03154","*","Wilcoxon"
"387","weight","船舶与海洋装备","港口航运",0.509243813484197,1,"0.50924","ns","Wilcoxon"
"388","weight","船舶与海洋装备","公路铁路",0.154524034874058,1,"0.15452","ns","Wilcoxon"
"389","weight","船舶与海洋装备","光电子器件",0.00301990577325863,1,"0.00302","**","Wilcoxon"
"390","weight","船舶与海洋装备","广播电视",0.277192465099541,1,"0.27719","ns","Wilcoxon"
"391","weight","船舶与海洋装备","轨道交通设备",0.0405970743723735,1,"0.04060","*","Wilcoxon"
"392","weight","船舶与海洋装备","贵金属",0.740856814293869,1,"0.74086","ns","Wilcoxon"
"393","weight","船舶与海洋装备","航空航天装备",0.000120048132111556,0.28,"0.00012","***","Wilcoxon"
"394","weight","船舶与海洋装备","航空机场",0.623469868739156,1,"0.62347","ns","Wilcoxon"
"395","weight","船舶与海洋装备","合成纤维及树脂",0.386266816790049,1,"0.38627","ns","Wilcoxon"
"396","weight","船舶与海洋装备","互联网服务",0.125722952914488,1,"0.12572","ns","Wilcoxon"
"397","weight","船舶与海洋装备","互联网技术",0.0583131148869211,1,"0.05831","ns","Wilcoxon"
"398","weight","船舶与海洋装备","互联网商务",0.225728454226461,1,"0.22573","ns","Wilcoxon"
"399","weight","船舶与海洋装备","化肥农药",0.00933022019823465,1,"0.00933","**","Wilcoxon"
"400","weight","船舶与海洋装备","化学新材料",0.268679544964944,1,"0.26868","ns","Wilcoxon"
"401","weight","船舶与海洋装备","化学原料",0.0363708343550119,1,"0.03637","*","Wilcoxon"
"402","weight","船舶与海洋装备","化学制品",0.0974591377235216,1,"0.09746","ns","Wilcoxon"
"403","weight","船舶与海洋装备","化学制药",0.0114803458898929,1,"0.01148","*","Wilcoxon"
"404","weight","船舶与海洋装备","环保",0.77278841841067,1,"0.77279","ns","Wilcoxon"
"405","weight","船舶与海洋装备","机器人",0.00501459304714913,1,"0.00501","**","Wilcoxon"
"406","weight","船舶与海洋装备","基本金属",0.0385836417849655,1,"0.03858","*","Wilcoxon"
"407","weight","船舶与海洋装备","基础建设",0.0255341691869425,1,"0.02553","*","Wilcoxon"
"408","weight","船舶与海洋装备","计算机软件",0.502602566226862,1,"0.50260","ns","Wilcoxon"
"409","weight","船舶与海洋装备","计算机硬件",0.00745561093552194,1,"0.00746","**","Wilcoxon"
"410","weight","船舶与海洋装备","家具",0.00136886856808456,1,"0.00137","**","Wilcoxon"
"411","weight","船舶与海洋装备","建筑施工",0.360046374509436,1,"0.36005","ns","Wilcoxon"
"412","weight","船舶与海洋装备","教育",0.108201543332554,1,"0.10820","ns","Wilcoxon"
"413","weight","船舶与海洋装备","金属非金属新材料",0.0926922370841914,1,"0.09269","ns","Wilcoxon"
"414","weight","船舶与海洋装备","金属制品",7.9678514537258e-07,0.0022,"8.0e-07","****","Wilcoxon"
"415","weight","船舶与海洋装备","林业",0.397219960580056,1,"0.39722","ns","Wilcoxon"
"416","weight","船舶与海洋装备","零售",0.181933601977372,1,"0.18193","ns","Wilcoxon"
"417","weight","船舶与海洋装备","贸易",0.00799553774780279,1,"0.00800","**","Wilcoxon"
"418","weight","船舶与海洋装备","煤炭",0.0274111580585624,1,"0.02741","*","Wilcoxon"
"419","weight","船舶与海洋装备","耐火材料",0.496543210002023,1,"0.49654","ns","Wilcoxon"
"420","weight","船舶与海洋装备","农业",0.00486860029785545,1,"0.00487","**","Wilcoxon"
"421","weight","船舶与海洋装备","平面媒体",0.682663625060344,1,"0.68266","ns","Wilcoxon"
"422","weight","船舶与海洋装备","其他电气设备",0.101249773428556,1,"0.10125","ns","Wilcoxon"
"423","weight","船舶与海洋装备","其他家电",0.0249581778443938,1,"0.02496","*","Wilcoxon"
"424","weight","船舶与海洋装备","其他建材",0.00307162105090349,1,"0.00307","**","Wilcoxon"
"425","weight","船舶与海洋装备","其他交运设备",0.0203106833660648,1,"0.02031","*","Wilcoxon"
"426","weight","船舶与海洋装备","其他轻工",0.15333673984379,1,"0.15334","ns","Wilcoxon"
"427","weight","船舶与海洋装备","汽车",0.01722915115723,1,"0.01723","*","Wilcoxon"
"428","weight","船舶与海洋装备","燃气",0.0148762517289921,1,"0.01488","*","Wilcoxon"
"429","weight","船舶与海洋装备","商业物业经营",0.119813974066874,1,"0.11981","ns","Wilcoxon"
"430","weight","船舶与海洋装备","生物医药",0.00024451303995652,0.56,"0.00024","***","Wilcoxon"
"431","weight","船舶与海洋装备","石油天然气",0.0794829948081888,1,"0.07948","ns","Wilcoxon"
"432","weight","船舶与海洋装备","食品",0.000853928478982537,1,"0.00085","***","Wilcoxon"
"433","weight","船舶与海洋装备","视听器材",0.0515945254777534,1,"0.05159","ns","Wilcoxon"
"434","weight","船舶与海洋装备","输变电设备",0.0400845002790718,1,"0.04008","*","Wilcoxon"
"435","weight","船舶与海洋装备","水泥",0.141732079391693,1,"0.14173","ns","Wilcoxon"
"436","weight","船舶与海洋装备","水务",0.0142722947879539,1,"0.01427","*","Wilcoxon"
"437","weight","船舶与海洋装备","陶瓷",0.112651017334882,1,"0.11265","ns","Wilcoxon"
"438","weight","船舶与海洋装备","铁矿石",0.328075908790289,1,"0.32808","ns","Wilcoxon"
"439","weight","船舶与海洋装备","铁路设备",0.21168091680119,1,"0.21168","ns","Wilcoxon"
